Length (ft),Height (ft),Speed (mph),Inversions,Type_Label_Encoded,Design_Label_Encoded,Status_Label_Encoded,Make_Label_Encoded,Opened_Year,Opened_Month,Opened_Day
312.7,74.73333333333333,31.333333333333336,0.0,0,4,1,104,2021,12,31
679.1,27.89999999999999,21.7,0.0,0,4,1,233,2000,1,1
631.0333333333333,9.5,13.699999999999996,0.0,0,4,1,256,2015,1,1
706.8666666666666,58.53333333333333,27.666666666666664,0.0,0,4,1,233,2017,10,5
484.3666666666667,99.69999999999999,29.6,0.0,0,4,3,256,1953,1,1
647.8666666666667,55.8,48.333333333333336,0.0,0,4,3,191,1979,1,1
689.0,16.4,44.7,0.0,0,4,3,191,1983,4,1
647.8666666666667,64.36666666666666,49.0,0.0,0,4,3,191,1976,1,1
291.33333333333326,68.03333333333333,45.36666666666667,0.0,0,4,3,191,1989,10,1
413.83333333333337,55.8,45.36666666666667,0.0,0,4,3,191,1986,1,1
481.5,59.83333333333333,46.63333333333333,0.0,0,4,3,191,1976,5,7
437.4666666666667,17.766666666666666,34.96666666666667,0.0,0,4,1,191,2007,1,1
647.8666666666667,56.53333333333333,38.06666666666667,0.0,0,4,3,191,1980,1,1
537.8666666666667,18.633333333333326,18.599999999999998,0.0,0,4,1,183,2012,4,28
705.9333333333334,44.3,33.166666666666664,0.0,0,4,3,191,1976,5,7
601.5,89.6,33.166666666666664,0.0,0,4,1,129,2010,1,1
866.2,19.700000000000003,28.0,0.0,0,4,3,129,1984,1,1
545.0,61.46666666666667,34.36666666666667,0.0,0,4,1,129,2024,4,26
751.3666666666667,195.0,67.0,6.0,0,2,1,30,1997,3,22
599.6333333333333,53.9,30.46666666666667,0.0,0,4,4,256,1996,1,1
679.1,32.83333333333333,23.966666666666665,0.0,0,4,1,233,2002,1,1
492.1333333333333,35.13333333333334,24.866666666666667,0.0,0,4,3,256,2010,1,1
815.8666666666667,108.3,51.6,0.0,0,4,1,129,2014,4,12
509.6333333333333,44.3,31.1,0.0,0,4,3,191,2001,1,1
674.7666666666667,28.46666666666667,25.23333333333333,0.0,0,4,1,233,2006,1,1
779.9333333333333,36.6,24.9,0.0,0,4,1,33,2016,1,1
393.70000000000005,64.0,35.0,0.0,0,0,3,104,1998,1,1
737.1333333333333,34.53333333333333,30.799999999999997,0.0,0,4,1,33,2008,1,1
679.1,32.83333333333333,23.966666666666665,0.0,0,4,1,233,2003,1,1
776.5,14.799999999999997,26.299999999999997,0.0,0,4,1,233,2008,1,1
776.5,14.799999999999997,27.700000000000003,0.0,0,4,1,233,2007,1,1
824.5999999999999,34.099999999999994,19.866666666666664,0.0,0,4,1,233,2013,1,1
569.6333333333333,34.300000000000004,32.333333333333336,0.0,0,4,4,233,2009,1,1
776.5,24.1,27.96666666666666,0.0,0,4,1,233,2010,1,1
776.5,24.1,27.96666666666666,0.0,0,4,1,233,2009,1,1
813.7,32.766666666666666,19.866666666666664,0.0,0,4,1,233,2012,1,1
679.1,32.83333333333334,23.966666666666665,0.0,0,4,1,233,2001,1,1
638.6666666666666,34.099999999999994,30.066666666666663,0.0,0,4,1,233,2014,1,1
313.53333333333336,26.733333333333327,27.96666666666667,0.0,0,4,3,233,2003,1,1
810.4,51.03333333333333,25.93333333333333,0.0,0,4,1,233,2016,1,1
262.1666666666667,8.333333333333329,28.9,0.0,0,4,2,240,2011,1,1
679.1,32.83333333333334,23.966666666666665,0.0,0,4,1,233,1999,1,1
810.4,51.03333333333333,25.93333333333333,0.0,0,4,1,233,2017,1,1
571.9666666666667,48.36666666666667,26.0,0.0,0,4,1,233,2019,6,22
581.8333333333334,30.633333333333333,27.033333333333335,0.0,0,4,1,233,2021,8,21
764.4666666666667,27.03333333333333,25.3,0.0,0,4,1,233,2021,1,1
693.3333333333334,42.66666666666667,36.3,0.0,0,4,1,233,2023,6,1
276.7,12.400000000000006,21.566666666666666,0.0,0,4,1,240,2022,1,1
399.20000000000005,45.93333333333334,24.9,0.0,0,4,1,233,2024,6,8
